"X18S_BL040126_022." "X18S_BL040223_022." "X18S_BL040322_022." "X18S_BL040419_022." "X18S_BL040525_022." "X18S_BL040628_022." "X18S_BL040719_022." "X18S_BL040831_022." "X18S_BL040929_022." "X18S_BL041019_022." "X18S_BL041116_022." "X18S_BL041214_022." "X18S_BL050120_022." "X18S_BL050215_022." "X18S_BL050309_022." "X18S_BL050413_022." "X18S_BL050510_022." "X18S_BL050607_022." "X18S_BL050705_022." "X18S_BL050803_022." "X18S_BL050913_022." "X18S_BL051004_022." "X18S_BL051108_022." "X18S_BL051213_022."
"OTU_1" 11604 4128 22349 654 0 0 0 2 15 69 321 4621 12382 17721 10 25 1 0 8 1 19348 2210 398 1871
"OTU_10" 716 960 1430 412 1551 2396 564 1507 914 127 2137 2729 2794 126 0 1228 2 250 3 1 605 50 938 20670
"OTU_100" 606 66 695 82 882 242 99 209 571 463 779 211 381 0 0 0 169 349 0 0 68 0 434 3354
"OTU_1000" 0 0 0 0 0 222 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU_1001" 0 0 1 0 0 0 0 23 0 19 21 77 31 0 0 0 0 0 0 0 1 0 4 71
"OTU_1002" 154 0 0 0 0 0 0 0 0 0 41 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU_1003" 0 0 0 0 0 0 0 0 0 10 2 10 10 0 0 0 101 0 0 0 0 0 0 16
"OTU_1004" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 190
"OTU_1005" 0 132 6 118 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 8 0 0
"OTU_1006" 178 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU_1007" 127 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 46 0 0 0 0 0 10
"OTU_1008" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 203 17
"OTU_1009" 27 0 0 0 0 0 0 0 0 0 21 0 49 2 0 0 0 0 0 0 6 0 0 92
"OTU_101" 0 0 0 0 1 24 4402 95 84 0 36 0 0 0 0 0 1 0 0 0 0 0 79 6
"OTU_1010" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 39 0 0 96 0 0
"OTU_1011" 0 0 0 0 0 0 0 0 0 0 211 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU_1012" 0 0 0 0 0 0 0 0 0 0 11 0 17 101 0 0 0 0 0 0 4 0 28 49
"OTU_1013" 69 5 0 4 1005 0 60 358 1066 230 466 505 419 1 1 46 1 376 1 0 1 0 1040 1217
"OTU_1014" 44 0 84 2 0 0 0 166 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0
"OTU_1015" 23 0 1 6 0 0 0 0 0 0 15 0 36 1 0 0 0 0 0 0 27 0 0 60
"OTU_1016" 0 0 0 0 1 0 0 60 0 11 20 0 0 0 0 0 0 0 0 0 0 0 0 122
"OTU_1017" 0 0 0 0 0 0 154 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU_1018" 0 0 0 3 0 0 0 138 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 6
"OTU_1019" 0 0 0 6 0 0 0 0 0 0 13 0 33 0 0 0 0 17 0 0 0 0 0 75
"OTU_102" 850 116 204 108 0 0 0 58 11 51 117 460 1083 2 0 0 0 0 0 0 169 0 90 1507
"OTU_1020" 2 0 17 32 0 0 0 0 0 0 1 44 0 60 0 0 0 0 0 0 0 0 0 0
"OTU_1021" 0 0 0 2 0 0 0 0 0 0 0 0 23 0 0 0 0 0 0 0 0 0 0 161
"OTU_1022" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 173 4
"OTU_1023" 124 0 7 7 0 0 0 0 0 0 73 0 2 0 0 0 0 0 0 0 15 0 14 0
"OTU_1024" 140 41 0 0 0 0 0 0 0 0 71 0 52 0 0 0 0 0 0 0 0 0 0 11
"OTU_1025" 0 0 0 2 0 0 0 16 0 0 0 0 0 0 0 0 0 153 0 0 0 0 0 4
"OTU_1026" 0 0 0 0 0 0 0 87 78 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0
"OTU_1027" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 145 0 0 0 0 0 0
"OTU_1028" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 126
"OTU_1029" 2 0 0 0 0 0 0 0 0 0 38 0 0 0 0 0 0 0 0 0 0 0 0 115
"OTU_103" 12 118 233 40 702 29 0 0 415 203 152 57 405 0 0 6 22 145 0 176 94 96 606 944
"OTU_1030" 0 74 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 72
"OTU_1031" 0 0 0 0 0 0 0 0 0 0 0 0 2 179 0 0 0 0 0 0 0 0 0 0
"OTU_1032" 0 0 0 0 0 0 0 0 184 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
